,agent,intervention,risk-mean,risk-std,risk-count,trav-mean,trav-std,req-mean,req-std
0,pomdp,"[-1, -1]",0.0,0.0,0,28.497142857142858,5.377228938570234,10.748571428571429,6.362883100626283
1,pomdp,"[-1, 0]",0.0,0.0,0,22.994285714285713,4.155145540194265,6.96,3.3663580338718786
2,pomdp,"[0, -1]",0.0,0.0,0,25.742857142857144,5.614574429075566,9.274285714285714,4.692145226504451
3,pomdp,"[0, 0]",0.0,0.0,0,20.388571428571428,3.6868684421182514,6.765714285714286,3.1761824921680857
4,myopic,"[-1, -1]",0.002857142857142857,0.03772424771770747,3,31.18285714285714,4.608829419174577,12.0,0.0
5,myopic,"[-1, 0]",0.002857142857142857,0.03772424771770747,3,25.77904761904762,3.496554881280206,12.0,0.0
6,myopic,"[0, -1]",0.002857142857142857,0.03772424771770747,3,26.316190476190478,4.324065530463337,12.0,0.0
7,myopic,"[0, 0]",0.002857142857142857,0.03772424771770747,3,21.04190476190476,3.2453954743305977,12.0,0.0
8,egostistical,"[-1, -1]",0.2,0.28311247191836175,189,26.76,6.421243369645302,0.0,0.0
9,egostistical,"[-1, 0]",0.2,0.28311247191836175,189,26.76,6.421243369645302,0.0,0.0
10,egostistical,"[0, -1]",0.2,0.28311247191836175,189,26.76,6.421243369645302,0.0,0.0
11,egostistical,"[0, 0]",0.2,0.28311247191836175,189,26.76,6.421243369645302,0.0,0.0
