,param,initial_risk,operator_intervention,cumlative_risk,travel_time,request_time
211,param_13_3,"[0.25, 0.5]","[-1, -1]",0,3,5
216,param_13_3,"[0.25, 0.75]","[-1, -1]",0,3,5
221,param_13_3,"[0.25, 1.0]","[-1, -1]",0,3,5
262,param_13_3,"[0.5, 0.5]","[0, -1]",0,9,12
263,param_13_3,"[0.75, 0.5]","[0, -1]",0,9,12
264,param_13_3,"[1.0, 0.5]","[0, -1]",0,9,12
267,param_13_3,"[0.5, 0.75]","[0, -1]",0,9,12
268,param_13_3,"[0.75, 0.75]","[0, -1]",0,9,12
269,param_13_3,"[1.0, 0.75]","[0, -1]",0,9,12
272,param_13_3,"[0.5, 1.0]","[0, -1]",0,9,12
273,param_13_3,"[0.75, 1.0]","[0, -1]",0,9,12
274,param_13_3,"[1.0, 1.0]","[0, -1]",0,9,12
362,param_13_4,"[0.5, 0.5]","[0, -1]",0,3,11
363,param_13_4,"[0.75, 0.5]","[0, -1]",0,3,11
364,param_13_4,"[1.0, 0.5]","[0, -1]",0,3,11
367,param_13_4,"[0.5, 0.75]","[0, -1]",0,3,11
368,param_13_4,"[0.75, 0.75]","[0, -1]",0,3,11
369,param_13_4,"[1.0, 0.75]","[0, -1]",0,3,11
372,param_13_4,"[0.5, 1.0]","[0, -1]",0,3,11
373,param_13_4,"[0.75, 1.0]","[0, -1]",0,3,11
374,param_13_4,"[1.0, 1.0]","[0, -1]",0,3,11
711,param_13_8,"[0.25, 0.5]","[-1, -1]",0,2,8
716,param_13_8,"[0.25, 0.75]","[-1, -1]",0,2,8
721,param_13_8,"[0.25, 1.0]","[-1, -1]",0,2,8
762,param_13_8,"[0.5, 0.5]","[0, -1]",0,8,14
763,param_13_8,"[0.75, 0.5]","[0, -1]",0,8,14
764,param_13_8,"[1.0, 0.5]","[0, -1]",0,8,14
767,param_13_8,"[0.5, 0.75]","[0, -1]",0,8,14
768,param_13_8,"[0.75, 0.75]","[0, -1]",0,8,14
769,param_13_8,"[1.0, 0.75]","[0, -1]",0,8,14
772,param_13_8,"[0.5, 1.0]","[0, -1]",0,8,14
773,param_13_8,"[0.75, 1.0]","[0, -1]",0,8,14
774,param_13_8,"[1.0, 1.0]","[0, -1]",0,8,14
856,param_13_9,"[0.25, 0.25]","[0, -1]",-0.5,10,7
1062,param_13_11,"[0.5, 0.5]","[0, -1]",0,6,5
1063,param_13_11,"[0.75, 0.5]","[0, -1]",0,6,5
1064,param_13_11,"[1.0, 0.5]","[0, -1]",0,6,5
1067,param_13_11,"[0.5, 0.75]","[0, -1]",0,6,5
1068,param_13_11,"[0.75, 0.75]","[0, -1]",0,6,5
1069,param_13_11,"[1.0, 0.75]","[0, -1]",0,6,5
1072,param_13_11,"[0.5, 1.0]","[0, -1]",0,6,5
1073,param_13_11,"[0.75, 1.0]","[0, -1]",0,6,5
1074,param_13_11,"[1.0, 1.0]","[0, -1]",0,6,5
1162,param_13_12,"[0.5, 0.5]","[0, -1]",0,4,11
1163,param_13_12,"[0.75, 0.5]","[0, -1]",0,4,11
1164,param_13_12,"[1.0, 0.5]","[0, -1]",0,4,11
1167,param_13_12,"[0.5, 0.75]","[0, -1]",0,4,11
1168,param_13_12,"[0.75, 0.75]","[0, -1]",0,4,11
1169,param_13_12,"[1.0, 0.75]","[0, -1]",0,4,11
1172,param_13_12,"[0.5, 1.0]","[0, -1]",0,4,11
1173,param_13_12,"[0.75, 1.0]","[0, -1]",0,4,11
1174,param_13_12,"[1.0, 1.0]","[0, -1]",0,4,11
1262,param_13_13,"[0.5, 0.5]","[0, -1]",0,6,6
1263,param_13_13,"[0.75, 0.5]","[0, -1]",0,6,6
1264,param_13_13,"[1.0, 0.5]","[0, -1]",0,6,6
1267,param_13_13,"[0.5, 0.75]","[0, -1]",0,6,6
1268,param_13_13,"[0.75, 0.75]","[0, -1]",0,6,6
1269,param_13_13,"[1.0, 0.75]","[0, -1]",0,6,6
1272,param_13_13,"[0.5, 1.0]","[0, -1]",0,6,6
1273,param_13_13,"[0.75, 1.0]","[0, -1]",0,6,6
1274,param_13_13,"[1.0, 1.0]","[0, -1]",0,6,6
1362,param_13_14,"[0.5, 0.5]","[0, -1]",0,5,4
1363,param_13_14,"[0.75, 0.5]","[0, -1]",0,5,4
1364,param_13_14,"[1.0, 0.5]","[0, -1]",0,5,4
1367,param_13_14,"[0.5, 0.75]","[0, -1]",0,5,4
1368,param_13_14,"[0.75, 0.75]","[0, -1]",0,5,4
1369,param_13_14,"[1.0, 0.75]","[0, -1]",0,5,4
1372,param_13_14,"[0.5, 1.0]","[0, -1]",0,5,4
1373,param_13_14,"[0.75, 1.0]","[0, -1]",0,5,4
1374,param_13_14,"[1.0, 1.0]","[0, -1]",0,5,4
