,param,risk,int,agent,cumlative_risk,travel_time,request_time
0,param_13_3,"[0.25, 0.75]","[-1, -1]",pomdp,0,29,17
1,param_13_3,"[0.25, 0.75]","[-1, -1]",myopic,0.0,26,12
2,param_13_3,"[0.25, 0.75]","[-1, -1]",egostistical,0.5,26,0
3,param_13_4,"[0.25, 0.75]","[-1, -1]",pomdp,0.5,26,17
4,param_13_4,"[0.25, 0.75]","[-1, -1]",myopic,0.5,26,12
5,param_13_4,"[0.25, 0.75]","[-1, -1]",egostistical,0.5,26,0
6,param_13_8,"[0.25, 0.75]","[-1, -1]",pomdp,0,27,20
7,param_13_8,"[0.25, 0.75]","[-1, -1]",myopic,0.0,25,12
8,param_13_8,"[0.25, 0.75]","[-1, -1]",egostistical,0.5,25,0
